,brand,price,year,mileage
0,SEAT,8990,2016,67000
1,Hyundai,9990,2014,104868
2,BMW,13490,2011,137566
3,Volkswagen,24990,2018,44495
4,Opel,10460,2016,69800
5,SEAT,8490,2014,114295
6,Jeep,23990,2011,103000
7,Kia,14990,2017,81999
8,Land,19490,2017,148575
9,SEAT,21990,2020,18999
10,Nissan,9990,2017,73633
11,Fiat,9990,2015,110642
12,BMW,25490,2019,27985
13,SEAT,23990,2018,40250
14,Ford,14490,2019,99958
15,Citroen,9990,2015,62750
16,Toyota,17990,2018,66000
17,Toyota,12990,2019,26073
18,Hyundai,13490,2018,69317
19,Volkswagen,18490,2016,46993
20,BMW,15990,2014,118200
21,SEAT,10490,2016,99898
22,Peugeot,10460,2016,109252
23,Dacia,12880,2018,44503
24,SEAT,16820,2018,19800
25,Toyota,9950,2011,192000
26,Mini,14980,2015,101000
27,BMW,11380,2014,194000
28,Peugeot,9990,2012,99738
29,Renault,12990,2019,24506
30,Citroen,13490,2021,2546
31,Toyota,10490,2016,178807
32,Subaru,13990,2015,110096
33,Ford,12990,2016,96652
34,Peugeot,12990,2016,83400
35,Ford,12490,2014,126400
36,Opel,17990,2019,42368
37,BMW,57990,2018,28999
38,Audi,16490,2015,123253
39,Volkswagen,17990,2015,122500
40,Volkswagen,18990,2018,39245
41,Peugeot,12990,2015,117417
42,Citroen,11490,2017,78453
43,SEAT,12990,2019,16000
44,Opel,17490,2019,56900
45,Nissan,8490,2013,152100
46,Mercedes,20990,2018,69500
47,Volkswagen,17490,2019,77900
48,Volkswagen,13490,2013,99990
49,Opel,15490,2019,67100
50,Mercedes,19490,2011,72000
51,Nissan,18990,2018,33150
52,Kia,18960,2019,32360
53,Mazda,18890,2018,29230
54,BMW,14970,2016,160000
55,SEAT,10570,2016,86528
56,Mazda,27990,2021,15000
57,SEAT,12990,2017,42700
58,Fiat,7990,2016,50000
59,SEAT,11490,2017,128000
60,Opel,15490,2020,7500
61,SEAT,8990,2012,146000
62,Mercedes,30490,2018,97164
63,Citroen,11990,2018,29513
64,Renault,8990,2014,55315
65,SEAT,12990,2018,20253
66,Toyota,15990,2020,19700
67,Ford,9990,2012,100500
68,Fiat,8990,2016,80000
69,Volkswagen,13990,2015,99265
70,Lexus,18490,2018,43909
